"test.units","logitpredprobs","gbmpredprobs","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_id","charge_degree..misd.fel.","compas_decile_score","two_year_recid","compas_guess","compas_correct","mturkpredprobs","compaspredprobs.linear"
1325,0.137869771080008,0.158714605250674,2,1,52,0,0,0,16,1,1,0,0,1,0.05,0.05
1329,0.541152173797939,0.560240304510729,1,0,22,0,1,1,190,1,8,1,1,1,0.95,0.75
1331,0.741766651627072,0.802422002165952,2,0,23,0,3,6,58,1,10,1,1,1,0.9,0.95
1343,0.597000229647664,0.696556102882421,3,0,24,0,0,3,58,1,6,1,1,1,0.8,0.55
1361,0.593680972326846,0.597866518952408,2,0,27,0,0,5,142,0,3,1,0,0,0.85,0.25
1385,0.470388626473366,0.666867831136796,2,0,28,0,0,4,45,0,2,1,0,0,0.95,0.15
1397,0.179748254089754,0.166452071232498,2,0,63,0,0,3,399,0,9,0,1,0,0.35,0.85
1430,0.177013294344168,0.193292716624275,3,0,47,0,0,0,45,0,4,0,0,1,0.05,0.35
1441,0.348676714439224,0.315974491739011,2,0,30,0,0,1,45,0,5,1,1,1,0.35,0.45
1443,0.246278173411127,0.164112734054944,2,0,45,0,0,0,318,1,5,1,1,1,0.05,0.45
1446,0.403473160096142,0.357639836600997,1,0,35,0,0,2,74,1,1,0,0,1,0.5,0.05
1452,0.379142144798955,0.269031214397947,1,1,21,0,1,0,128,0,5,1,1,1,0.15,0.45
1467,0.73092522503575,0.775523925291226,2,0,29,0,0,10,110,1,7,1,1,1,0.8,0.65
1490,0.447797048361716,0.604405519745,2,0,30,0,0,4,45,0,4,1,0,0,0.7,0.35
1522,0.458107683802003,0.65031449507809,2,0,23,0,0,2,45,0,7,0,1,0,0.7,0.65
1526,0.568491587342025,0.671949020300423,2,0,36,0,0,5,306,1,4,0,0,1,1,0.35
1530,0.0732626559217764,0.247055813293385,3,0,69,0,0,0,45,0,1,0,0,1,0,0.05
1532,0.166471930572342,0.185891218388932,3,0,59,0,0,1,216,0,1,0,0,1,0.2,0.05
1553,0.19989466885314,0.191551172148683,3,0,51,0,0,0,218,1,1,1,0,0,0.35,0.05
1559,0.579033702742869,0.733343141452579,1,0,24,1,2,3,45,0,4,0,0,1,0.9,0.35
1562,0.440112899063761,0.427432278242604,3,0,26,0,0,0,404,1,3,0,0,1,0.1,0.25
1576,0.74783793156364,0.699781507940743,2,0,42,1,0,13,328,0,8,1,1,1,0.85,0.75
1578,0.331534443655336,0.222418483936001,1,0,39,0,0,1,224,1,1,0,0,1,0.2,0.05
1604,0.381650316370653,0.524560336580509,2,0,36,0,0,4,45,0,5,1,1,1,0.95,0.45
1611,0.410189767275806,0.554456087757093,2,0,47,0,0,4,306,1,3,0,0,1,0.85,0.25
1615,0.241777470141598,0.160381952981608,1,1,38,0,0,0,74,1,1,0,0,1,0.15,0.05
1629,0.417679150998122,0.591612867501697,2,0,27,0,0,2,6,1,5,0,1,0,0.5,0.45
1642,0.359078649079641,0.325019750991986,1,0,29,0,0,1,45,0,6,0,1,0,0.25,0.55
1670,0.508552040945498,0.544225587362784,2,0,23,0,0,1,404,1,6,1,1,1,0.25,0.55
1682,0.359945582706817,0.224851861351566,1,0,40,0,0,3,172,1,1,0,0,1,0.45,0.05
1689,0.23709193092189,0.170046090475734,1,0,54,0,0,3,239,0,1,1,0,0,0.3,0.05
1718,0.804204005489106,0.842043564288983,2,0,25,0,1,11,190,1,9,1,1,1,0.9,0.85
1729,0.322775988444496,0.179862267201085,2,0,39,0,0,1,283,0,2,1,0,0,0.1,0.15
1733,0.302491233386231,0.590031247731747,1,1,52,0,0,6,381,0,7,0,1,0,0.8,0.65
1741,0.631731787643069,0.772371470870047,2,0,24,0,0,5,418,1,6,1,1,1,0.8,0.55
1787,0.494424254605443,0.378670975297366,2,0,24,0,0,0,58,1,5,0,1,0,0.35,0.45
1795,0.406323771700479,0.265318973504452,3,1,22,0,0,0,190,1,6,0,1,0,0.65,0.55
1796,0.528514775635864,0.542193598412341,2,0,21,0,0,0,58,1,3,1,0,0,0.4,0.25
1833,0.462641601444678,0.433059435815246,4,0,24,0,0,0,404,1,3,0,0,1,0.4,0.25
1834,0.379582158372934,0.219938337175639,1,0,31,0,0,0,107,1,4,0,0,1,0.6,0.35
1841,0.240520348308039,0.221580061850385,1,1,37,0,0,1,128,0,3,0,0,1,0.35,0.25
1856,0.450719836083441,0.698972473132137,1,0,21,0,0,1,49,1,4,0,0,1,0.55,0.35
1865,0.328209053938075,0.174572534361229,1,0,36,0,0,0,159,1,1,0,0,1,0.15,0.05
1870,0.511096653212375,0.678147064473226,2,0,20,0,0,0,71,1,3,0,0,1,0.35,0.25
1871,0.358951507785904,0.533938484432604,2,1,25,0,0,2,49,1,8,1,1,1,0.7,0.75
1874,0.294740456939845,0.316630693114043,1,1,28,0,0,1,45,0,4,0,0,1,0.25,0.35
1904,0.380248830804754,0.233596425731389,2,0,32,0,0,1,172,1,4,0,0,1,0.6,0.35
1941,0.368142094108999,0.320668309920555,2,0,28,0,0,0,134,0,1,0,0,1,0.15,0.05
1943,0.494424254605443,0.378670975297366,2,0,24,0,0,0,292,1,3,1,0,0,0.15,0.25
2002,0.580959450676127,0.456458631652025,1,0,49,0,0,12,283,0,5,0,1,0,0.7,0.45
2006,0.554901754124136,0.5308113475665,2,0,22,0,0,0,252,1,8,1,1,1,0.3,0.75
2020,0.700654197809418,0.773235115993913,3,0,28,0,0,11,45,0,7,0,1,0,0.95,0.65
2034,0.381778658558374,0.276510662745463,1,0,37,0,0,2,209,1,2,0,0,1,0.55,0.15
2053,0.390593067958478,0.37954006678435,2,0,23,0,0,0,45,0,7,0,1,0,0.2,0.65
2054,0.455847887785153,0.367035445868675,1,0,25,0,0,0,190,1,2,0,0,1,0.3,0.15
2072,0.0936383049410951,0.150688941687434,1,1,66,0,0,1,402,0,1,0,0,1,0.15,0.05
2076,0.626358362613147,0.585163052999744,2,0,30,0,0,7,246,1,10,1,1,1,0.85,0.95
2078,0.417509133131988,0.540934550685741,1,0,43,0,0,4,61,1,5,1,1,1,0.9,0.45
2100,0.23316848015724,0.168566140917805,1,0,44,0,0,0,374,0,1,0,0,1,0.1,0.05
2121,0.46515223915881,0.493382724190933,2,1,28,0,0,4,280,1,4,0,0,1,0.95,0.35
2128,0.546920642397447,0.695447309079339,2,0,26,0,0,3,90,1,3,1,0,0,0.85,0.25
2140,0.127405748193442,0.195674125952548,1,1,59,0,0,1,189,1,1,0,0,1,0.05,0.05
2149,0.356896310512764,0.203162709982434,2,0,33,0,0,0,303,1,1,1,0,0,0.3,0.05
2152,0.288440659477045,0.459036494475855,2,1,42,0,0,2,66,1,2,0,0,1,0.65,0.15
2153,0.587535792483698,0.758751854609806,2,0,22,0,0,3,418,1,8,1,1,1,0.9,0.75
2156,0.272038142386484,0.193550885355828,1,0,45,0,0,1,342,1,5,1,1,1,0.3,0.45
2165,0.140675715000713,0.1794780960013,2,0,53,0,0,0,45,0,1,1,0,0,0.1,0.05
2182,0.395861790165255,0.314568695248968,2,1,26,0,0,1,190,1,6,1,1,1,0.4,0.55
2195,0.717147933464009,0.776865231602408,2,0,25,0,0,8,190,1,6,1,1,1,0.9,0.55
2206,0.431260546513535,0.374893072715015,2,0,30,0,0,2,127,0,7,0,1,0,0.4,0.65
2211,0.605679457711778,0.677495605382192,2,0,24,0,0,5,172,1,7,1,1,1,1,0.65
2216,0.289870855513805,0.23254056675915,2,0,44,0,0,2,172,1,2,0,0,1,0.55,0.15
2220,0.609291791989082,0.470719745365306,2,0,52,0,0,15,128,0,4,1,0,0,1,0.35
2228,0.655987089745306,0.932728916441566,2,0,19,0,2,3,190,1,4,1,0,0,0.95,0.35
2262,0.390593067958478,0.37954006678435,2,0,23,0,0,0,45,0,3,1,0,0,0.05,0.25
2278,0.0940936504318953,0.109524018266807,1,0,63,0,0,0,45,0,1,1,0,0,0,0.05
2291,0.0829004898740279,0.199949491736957,1,0,72,0,0,1,128,0,1,0,0,1,0.1,0.05
2310,0.515134169358955,0.516055770664051,2,0,28,0,0,3,280,1,2,0,0,1,0.85,0.15
2320,0.406323771700479,0.265318973504452,2,1,22,0,0,0,190,1,4,1,0,0,0.2,0.35
2329,0.883857056248319,0.856863384516356,2,0,25,0,4,14,186,1,10,1,1,1,0.95,0.95
2338,0.124492283748558,0.173000965398566,3,0,59,0,0,0,133,0,1,0,0,1,0.15,0.05
2353,0.177013294344168,0.193292716624275,1,0,47,0,0,0,45,0,1,0,0,1,0.1,0.05
2382,0.850625382973344,0.78653744526492,2,0,58,0,0,24,175,1,6,1,1,1,0.85,0.55
2393,0.51716509276359,0.52761864799669,2,0,22,0,0,0,65,1,3,0,0,1,0.2,0.25
2396,0.11680763951014,0.107620075596592,1,1,57,0,0,0,122,0,4,0,0,1,0.15,0.35
2400,0.773737873119732,0.892520512646446,2,0,30,0,2,11,372,1,8,0,1,0,0.9,0.75
2402,0.718339270182543,0.604316929724893,2,0,46,0,0,15,129,1,7,1,1,1,1,0.65
2405,0.307617992558716,0.250755206393977,2,1,24,0,0,0,167,1,3,0,0,1,0.1,0.25
2410,0.344958378437956,0.524783330020746,3,1,33,0,0,2,426,0,4,0,0,1,0.7,0.35
2438,0.0796854938842333,0.127071625007377,4,0,67,0,0,0,45,0,1,0,0,1,0.15,0.05
2446,0.456330963784367,0.335195536790515,1,0,23,0,0,0,15,1,3,1,0,0,0.25,0.25
2448,0.501228219581057,0.49327659565483,2,0,21,0,0,0,190,1,8,1,1,1,0.25,0.75
2456,0.572925561854448,0.688903925860103,1,0,43,0,0,9,312,1,6,0,1,0,0.8,0.55
2476,0.837048670056901,0.85163877417264,2,0,26,0,1,13,129,1,8,1,1,1,0.95,0.75
2484,0.176375494479517,0.184022524332583,1,0,50,0,0,0,128,0,1,0,0,1,0,0.05
2502,0.252186947512391,0.245630174777726,3,0,45,0,0,0,186,1,1,0,0,1,0.1,0.05
2504,0.509358027512271,0.54234130130493,1,0,22,0,0,0,242,0,2,1,0,0,0.1,0.15
2507,0.577647197637393,0.575660191113672,2,0,28,0,0,5,283,0,6,0,1,0,0.65,0.55
2511,0.37762454985264,0.268204037679802,3,0,37,0,0,2,144,0,3,0,0,1,0.7,0.25
2514,0.93480147395797,0.924425390963733,2,0,35,0,1,23,268,1,9,1,1,1,1,0.85
2515,0.857695834465533,0.888474778172662,2,0,28,2,1,11,179,1,10,0,1,0,0.95,0.95
2519,0.963736567399533,0.872560182283945,2,0,32,1,3,24,129,1,7,1,1,1,1,0.65
2525,0.417153041082717,0.404151305870884,1,0,28,0,0,0,86,1,2,0,0,1,0.1,0.15
2533,0.434666333180027,0.811934082216769,1,0,19,0,0,0,45,0,6,1,1,1,0.15,0.55
2537,0.275797618576282,0.251072553051592,2,1,27,0,0,0,45,0,2,0,0,1,0.15,0.15
2543,0.968600983170827,0.861979576087751,2,0,37,2,3,24,66,1,8,0,1,0,1,0.75
2567,0.271144022394171,0.241187229320859,1,0,38,0,0,1,45,0,6,0,1,0,0.1,0.55
2572,0.417907721321065,0.56780836167367,2,1,28,0,0,2,297,1,5,1,1,1,0.5,0.45
2583,0.319076906329484,0.556492437244327,1,1,35,0,0,4,170,1,3,0,0,1,0.6,0.25
2586,0.319335295573751,0.188078257879532,1,0,40,0,0,1,42,1,1,0,0,1,0.4,0.05
2589,0.435367221247643,0.477272866302908,3,1,34,0,0,5,218,1,4,0,0,1,0.9,0.35
2605,0.271495140626,0.294167748394488,3,0,45,0,0,1,426,0,8,0,1,0,0.25,0.75
2613,0.238478669154716,0.163028411940467,1,0,46,0,0,0,371,1,1,0,0,1,0.35,0.05
2618,0.962554174488523,0.867273382764874,2,0,34,0,0,27,175,1,9,1,1,1,1,0.85
2624,0.249950300831972,0.341313119901055,2,0,51,0,0,0,306,1,2,1,0,0,0.25,0.15
2632,0.315907939365371,0.338691274871483,1,0,56,0,0,4,306,1,1,0,0,1,0.9,0.05
2638,0.390593067958478,0.37954006678435,1,0,23,0,0,0,45,0,4,0,0,1,0.3,0.35
2654,0.52341828823096,0.547282503322621,2,0,27,0,0,3,207,0,7,0,1,0,0.55,0.65
2681,0.290426181661901,0.21302057653004,2,0,43,0,0,1,344,1,3,0,0,1,0.15,0.25
2685,0.417343509371494,0.270755342921788,2,1,21,0,0,0,190,1,5,0,1,0,0.55,0.45
2687,0.135265307868925,0.16992596988487,1,0,54,0,0,0,45,0,1,0,0,1,0.15,0.05
2691,0.176974819120709,0.221627115987664,2,0,54,0,0,0,368,0,1,0,0,1,0.25,0.05
2703,0.254253804626056,0.237123777358549,2,0,51,0,0,3,172,1,7,0,1,0,0.45,0.65
2718,0.329698667003438,0.291106792357565,2,1,35,0,0,0,306,1,3,1,0,0,0.3,0.25
2719,0.428308946240764,0.503840588737019,2,0,23,0,0,1,167,1,4,1,0,0,0.25,0.35
2723,0.588006226609863,0.73494838238297,2,0,25,0,0,4,89,1,6,1,1,1,0.9,0.55
2737,0.70928404308454,0.69214569543559,2,0,26,0,0,9,126,1,8,1,1,1,0.9,0.75
2758,0.466764744337225,0.3817421457744,2,0,25,0,0,0,271,1,2,0,0,1,0.15,0.15
2765,0.28497665659178,0.2312528047691,2,1,26,0,0,0,45,0,2,0,0,1,0.2,0.15
2766,0.688661949338332,0.76975824046236,2,0,28,0,0,8,190,1,8,1,1,1,0.95,0.75
2767,0.135110228420485,0.0888537158651389,1,0,67,0,0,2,334,0,1,1,0,0,0.45,0.05
2772,0.544659745318125,0.712580829730427,2,0,23,0,0,2,92,0,8,1,1,1,0.65,0.75
2773,0.492923239410325,0.501557198961788,2,1,49,0,0,14,45,0,7,1,1,1,0.9,0.65
2780,0.115355501339569,0.149254930549672,1,0,58,0,0,0,45,0,1,0,0,1,0.1,0.05
2790,0.22747393816835,0.192766398062969,1,0,43,0,0,0,134,0,4,0,0,1,0.2,0.35
2794,0.498511891553092,0.668117582208851,1,0,27,0,1,4,45,0,4,1,0,0,0.9,0.35
2809,0.466573848255694,0.31840611252193,2,0,23,0,0,0,246,1,3,0,0,1,0.3,0.25
2820,0.083086395913087,0.145549683329539,1,0,66,0,0,0,45,0,1,0,0,1,0.15,0.05
2841,0.531012284417161,0.616304911750315,1,0,24,0,1,3,133,0,5,0,1,0,1,0.45
2843,0.236358245351603,0.181195165576329,1,0,39,0,0,0,45,0,1,0,0,1,0.25,0.05
2854,0.897742315196978,0.899193165622268,2,0,31,0,0,19,129,1,9,1,1,1,0.9,0.85
2865,0.553632687569961,0.741751779254289,2,0,22,0,0,2,89,1,4,1,0,0,0.6,0.35
2874,0.349117775983118,0.414432907095007,2,0,33,0,0,2,45,0,2,1,0,0,0.5,0.15
2897,0.521474457566642,0.486231244938952,1,0,28,0,0,1,306,1,7,1,1,1,0.45,0.65
2898,0.240966847373152,0.212880867685826,1,1,31,0,0,0,45,0,3,0,0,1,0,0.25
2901,0.636494093192069,0.616419682308646,2,0,26,0,0,6,303,1,9,1,1,1,0.75,0.85
2907,0.508398864623126,0.745524917912551,2,0,22,0,0,3,167,1,6,1,1,1,0.9,0.55
2910,0.235567823396941,0.183195009267247,1,0,42,0,0,0,128,0,4,0,0,1,0.1,0.35
2914,0.435511571029048,0.243851605836261,2,0,29,0,0,1,159,1,9,0,1,0,0.25,0.85
2917,0.567274406334883,0.689192401925722,1,0,26,0,0,3,243,0,4,0,0,1,0.85,0.35
2930,0.730701661005892,0.795989793339888,2,0,29,0,0,10,31,0,10,1,1,1,0.95,0.95
2934,0.517649895896383,0.462744649338482,2,0,25,0,0,1,64,1,3,1,0,0,0.45,0.25
2937,0.512599462931264,0.65941679103064,1,0,20,0,0,0,190,1,5,1,1,1,0.45,0.45
2943,0.261238878443316,0.173819128850528,1,0,42,0,0,0,16,1,1,0,0,1,0.25,0.05
2955,0.348676714439224,0.315974491739011,2,0,30,0,0,1,45,0,2,0,0,1,0.2,0.15
2959,0.424470021909168,0.574832575348748,2,0,26,0,0,2,45,0,7,0,1,0,0.4,0.65
3010,0.129536335310396,0.153497419528365,1,0,58,0,0,0,132,0,1,0,0,1,0.1,0.05
3019,0.157997720913593,0.190385372180536,1,0,50,0,0,0,45,0,2,1,0,0,0.05,0.15
3022,0.392443235515039,0.517878092736044,2,0,35,0,0,4,45,0,5,0,1,0,0.85,0.45
